name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1700,17623,0,1619,8748,1,49,98,49,1.0,1.0,2,20,20,52.381640000000004,4.86948,7,0,2,1.0,1.0,1.0,8,86.0,3,8,0,0,0,0,0,6,0,0,90.0,9.0,9.0,10.0,9.0,9.0,9.0,1,1,0,0,0.1
4552,8452,0,1633,5467,1,49,98,79,1.0,1.0,2,7,7,52.36658,4.87517,7,0,3,1.0,1.0,1.0,12,200.0,3,7,0,0,0,0,0,38,0,0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.62
12331,9741,0,1678,8748,1,49,98,49,1.0,1.0,2,7,7,52.36152,4.86196,7,0,2,1.0,1.0,1.0,9,115.0,2,1125,0,0,0,0,0,5,0,0,85.0,9.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.08
15626,16504,0,521,2592,1,49,83,79,1.0,1.0,0,2,2,52.37818,4.85646,7,0,2,1.5,1.0,1.0,31,89.0,1,1125,0,0,0,0,0,60,3,0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.99
17639,7415,0,574,5249,2,2,2,46,1.0,1.0,0,17,17,52.352540000000005,4.9195400000000005,12,0,2,1.0,1.0,1.0,19,176.0,3,1124,0,0,0,0,49,29,2,0,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.48
6461,15792,1,1657,8748,1,49,98,49,2.0,2.0,0,7,7,52.3675,4.85185,7,0,2,1.0,1.0,1.0,15,85.0,3,18,0,0,0,0,0,5,0,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1,0,0,0.1
4286,3508,1,1679,1569,4,2,96,43,1.0,1.0,2,4,4,52.37311,4.90369,41,2,2,1.0,1.0,1.0,22,95.0,2,35,0,30,60,83,171,269,25,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,4.48
17192,2933,6,1169,6736,4,2,0,50,2.0,2.0,2,21,21,52.3573,4.87285,27,2,2,1.0,1.0,1.0,6,250.0,3,1125,0,29,59,89,364,9,0,0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,2,0,2,0,0.17
21,15508,0,1127,6351,4,2,62,49,1.0,1.0,2,7,7,52.36736,4.86512,7,0,4,1.0,2.0,2.0,22,100.0,3,60,0,0,0,0,0,44,7,0,99.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.73
2179,10893,1,1629,5158,1,49,2,46,1.0,1.0,2,17,17,52.35038,4.91219,19,0,3,1.0,1.0,2.0,31,195.0,5,31,0,0,0,0,0,59,0,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.99
